strategy,fold,trade_id,holding_period,exit_reason,net_return_pct,net_pnl,is_win
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,79,6,PROFIT_TARGET,2.8970000000000073,4898.015532834823,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,80,3,PROFIT_TARGET,2.8970000000000002,5039.911042821036,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,81,5,PROFIT_TARGET,2.8969999999999967,5185.917265731556,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,82,10,TIME_LIMIT_10D,-6.978942692136828,-12854.92164301994,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,83,2,PROFIT_TARGET,2.8970000000000047,4963.746208921525,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,84,10,TIME_LIMIT_10D,-10.119846754078408,-17841.76119010938,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,85,2,PROFIT_TARGET,2.897000000000006,4590.670114916514,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,86,10,TIME_LIMIT_10D,-1.1327163341198148,-1846.9343837068782,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,87,2,PROFIT_TARGET,2.8970000000000073,4670.156139049659,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,88,1,PROFIT_TARGET,2.8970000000000042,4805.450562397922,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,89,10,TIME_LIMIT_10D,-3.6681968881663196,-6260.960581373377,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,90,3,PROFIT_TARGET,2.8969999999999962,4763.28443714819,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,91,1,PROFIT_TARGET,2.897000000000011,4901.276787292398,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,92,10,TIME_LIMIT_10D,-11.069463005004474,-19270.36762143954,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,93,10,TIME_LIMIT_10D,-19.07174472259201,-29526.01162399777,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,94,1,PROFIT_TARGET,2.897000000000006,3629.635669079929,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,95,1,PROFIT_TARGET,2.8970000000000016,3734.786214413169,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,96,5,PROFIT_TARGET,2.8970000000000007,3842.9829710447175,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,97,10,TIME_LIMIT_10D,-12.638057616335264,-17250.55248099596,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,98,1,PROFIT_TARGET,2.897000000000007,3454.5656823414374,1
