asset,feature_config,feature_count,model,fold,train_samples,validation_samples,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time,is_model_collapse
tcs_ns,SHORTLIST_16,16,random_forest,1,944,1262,0.4968304278922345,0.49899396378269617,0.3911671924290221,0.4385499557913351,0.49442800739416104,0.6731202000519261,0.19186160003300756,False
tcs_ns,SHORTLIST_16,16,xgboost,1,944,1262,0.5055467511885895,0.5100806451612904,0.3990536277602524,0.44778761061946903,0.4994223311700054,0.44916079996619374,0.011218299972824752,False
tcs_ns,SHORTLIST_16,16,logistic_regression,2,2206,1263,0.5122723673792557,0.527047913446677,0.5238095238095238,0.5254237288135594,0.5248235494914811,0.01994509994983673,0.004734499962069094,False
tcs_ns,SHORTLIST_16,16,random_forest,2,2206,1263,0.5193982581155978,0.5426356589147286,0.43010752688172044,0.47986289631533846,0.5127154804574159,0.7058940000133589,0.26067559991497546,False
tcs_ns,SHORTLIST_16,16,xgboost,2,2206,1263,0.5122723673792557,0.5300171526586621,0.47465437788018433,0.5008103727714749,0.5198588395931849,0.3595894000027329,0.009536299970932305,False
tcs_ns,SHORTLIST_16,16,logistic_regression,3,3469,1265,0.5130434782608696,0.5374800637958532,0.5082956259426847,0.5224806201550387,0.5081302646282126,0.02154689992312342,0.0043608000269159675,False
tcs_ns,SHORTLIST_16,16,random_forest,3,3469,1265,0.5138339920948617,0.5452830188679245,0.4358974358974359,0.4844928751047779,0.5036091359620771,0.664676700020209,0.2040747000137344,False
tcs_ns,SHORTLIST_16,16,xgboost,3,3469,1265,0.5011857707509881,0.5373831775700935,0.3469079939668175,0.4216315307057745,0.5143688960378426,0.3805026001064107,0.012824399978853762,False
tcs_ns,NO_PRICE_LEVELS_27,27,logistic_regression,1,918,1262,0.4968304278922345,0.49936628643852976,0.6214511041009464,0.5537596626844694,0.49038306978239465,0.041970200021751225,0.00411900004837662,False
tcs_ns,NO_PRICE_LEVELS_27,27,random_forest,1,918,1262,0.48811410459587956,0.48775510204081635,0.37697160883280756,0.42526690391459077,0.49919000783620326,0.4775730000110343,0.18983709998428822,False
tcs_ns,NO_PRICE_LEVELS_27,27,xgboost,1,918,1262,0.47702060221870046,0.47123893805309736,0.3359621451104101,0.39226519337016574,0.49655407984890193,0.3489494000095874,0.009900399949401617,False
tcs_ns,NO_PRICE_LEVELS_27,27,logistic_regression,2,2180,1263,0.5209817893903405,0.5217391304347826,0.847926267281106,0.6459918080748976,0.5097311325964077,0.04175709991250187,0.004777300055138767,False
tcs_ns,NO_PRICE_LEVELS_27,27,random_forest,2,2180,1263,0.4885193982581156,0.5068870523415978,0.282642089093702,0.3629191321499014,0.5110639237773962,0.6519709000131115,0.20722769992426038,False
tcs_ns,NO_PRICE_LEVELS_27,27,xgboost,2,2180,1263,0.5051464766429137,0.5225694444444444,0.46236559139784944,0.4906275468622657,0.5091337610312942,0.3677598999347538,0.011266000103205442,False
tcs_ns,NO_PRICE_LEVELS_27,27,logistic_regression,3,3443,1265,0.500395256916996,0.5298651252408478,0.41478129713423834,0.4653130287648054,0.5046852372433768,0.04385590006131679,0.004291500081308186,False
tcs_ns,NO_PRICE_LEVELS_27,27,random_forest,3,3443,1265,0.4972332015810277,0.5594713656387665,0.19155354449472098,0.2853932584269663,0.5054218467351163,0.7084163000108674,0.20614829997066408,False
tcs_ns,NO_PRICE_LEVELS_27,27,xgboost,3,3443,1265,0.4790513833992095,0.5091743119266054,0.167420814479638,0.25198637911464244,0.505930458050841,0.4303191000362858,0.01574800000526011,False
