date,portfolio_equity
2013-09-03,171800.64264566096
2013-09-04,201235.25716159082
2013-09-05,174400.4525913716
2013-09-06,203397.5516774759
2013-09-10,203397.5516774759
2013-09-11,203397.5516774759
2013-09-12,203397.5516774759
2013-09-13,203397.5516774759
2013-09-16,203397.5516774759
2013-09-17,203397.5516774759
2013-09-18,203397.5516774759
2013-09-19,203397.5516774759
2013-09-20,203397.5516774759
2013-09-23,203397.5516774759
2013-09-24,203397.5516774759
2013-09-25,203397.5516774759
2013-09-26,244036.38250263556
2013-09-27,203279.974332386
2013-09-30,203366.3151830414
2013-10-01,203393.29711058276
2013-10-03,203692.1206406264
2013-10-04,203412.1831423848
2013-10-07,203485.71152988885
2013-10-08,203651.64774931438
2013-10-09,204672.91634170874
2013-10-10,162718.04134198072
2013-10-11,204912.38094863834
2013-10-14,204912.38094863834
2013-10-15,204912.38094863834
2013-10-17,204912.38094863834
2013-10-18,204912.38094863834
2013-10-21,204912.38094863834
2013-10-22,204912.38094863834
2013-10-23,204912.38094863834
2013-10-24,278607.06963300664
2013-10-25,206267.87247033525
2013-10-28,206110.23698124173
2013-10-29,206349.74802528406
2013-10-30,206685.38941933465
2013-10-31,206956.48583712598
2013-11-01,206333.320600263
2013-11-05,205092.67236580836
2013-11-06,206492.36103311062
2013-11-07,172628.48751253044
2013-11-08,207619.19306504086
2013-11-11,207650.69999260383
2013-11-12,207332.54789457412
2013-11-13,240460.8922334466
2013-11-14,235280.88728078952
2013-11-18,210258.0440960545
2013-11-19,210924.44111818998
2013-11-20,209166.09724607068
2013-11-21,166027.61838176553
2013-11-22,207218.00410561397
2013-11-25,209147.9437313783
2013-11-26,207882.96198118496
2013-11-27,173656.90462865288
2013-11-28,223226.73672827324
2013-11-29,208099.23824823875
2013-12-02,208298.95873428247
2013-12-03,208443.2591723736
2013-12-04,208009.3137381678
2013-12-05,207739.53510223405
2013-12-06,208014.54199641125
2013-12-09,208109.69476472563
2013-12-10,209738.82054395464
2013-12-11,209222.26965064663
2013-12-12,207863.009432761
2013-12-13,208307.49082127126
2013-12-16,207366.29710710864
2013-12-17,207086.09242131258
2013-12-18,208079.97558977746
2013-12-19,241142.02592343613
2013-12-20,210491.36658000486
2013-12-23,210868.56450614537
2013-12-24,210979.86582076442
2013-12-26,167990.1805160196
2013-12-27,210834.36693855503
2013-12-30,210409.52412894808
2013-12-31,210473.7990461723
2014-01-01,210440.87877395743
2014-01-02,217931.57799583976
2014-01-03,209363.14692980802
2014-01-06,208350.1306158898
2014-01-07,208708.5824920481
2014-01-08,208876.11878682591
2014-01-09,208741.69933326653
2014-01-10,207715.04782702198
2014-01-13,208899.49807342858
2014-01-14,208180.64550225672
2014-01-15,209033.91752698793
2014-01-16,167798.3688937423
2014-01-17,209055.34472490504
2014-01-20,209055.34472490504
2014-01-21,209055.34472490504
2014-01-22,209055.34472490504
2014-01-23,209055.34472490504
2014-01-24,209055.34472490504
2014-01-27,250824.60260094106
2014-01-28,209379.6027602211
2014-01-29,208666.07470473347
2014-01-30,207555.45368046904
2014-01-31,208099.39016417047
2014-02-03,207098.3854059701
2014-02-04,240726.8139117905
2014-02-05,207847.34955414364
2014-02-06,207210.7209895203
2014-02-07,233563.14816274133
2014-02-10,166340.6412279117
2014-02-11,206367.5799252836
2014-02-12,206454.6836313458
2014-02-13,206787.06535825873
2014-02-14,207755.96618065907
2014-02-17,207820.94410218636
2014-02-18,210412.26769663076
2014-02-19,208268.44912461337
2014-02-20,207151.92262086025
2014-02-21,179941.12564303045
2014-02-24,208432.2989408606
2014-02-25,208255.16140808133
2014-02-26,208440.98252476275
2014-02-28,208698.00961242826
2014-03-03,208210.00618880367
2014-03-04,214314.76996114594
2014-03-05,210719.86123979744
2014-03-06,212073.06899637988
2014-03-07,214734.4427764516
2014-03-10,247907.8340171525
2014-03-11,214694.7450331216
2014-03-12,215658.12445392917
2014-03-13,215517.70528721303
2014-03-14,215165.53119951655
2014-03-18,167303.6449723791
2014-03-19,213188.52300447779
2014-03-20,214264.1501618473
2014-03-21,214558.0726125294
2014-03-24,181304.2732040128
2014-03-25,257906.97784992357
2014-03-26,249855.49741922683
2014-03-27,215940.93875479125
2014-03-28,216821.97426612908
2014-03-31,218044.6970043397
2014-04-01,219338.2520940065
2014-04-02,220027.18532509933
2014-04-03,219661.73131694918
2014-04-04,218797.6433777781
2014-04-07,219038.12065582225
2014-04-09,137573.3170728047
2014-04-10,219697.390670734
2014-04-11,219697.390670734
2014-04-15,219697.390670734
2014-04-16,263592.9293267467
2014-04-17,220136.57599692832
2014-04-21,220010.05850341622
2014-04-22,219560.99505680072
2014-04-23,219866.85824227487
2014-04-24,219866.85824227487
2014-04-25,219907.87443027724
2014-04-28,219941.93578799022
2014-04-29,219937.76424751896
2014-04-30,175757.9125365872
2014-05-02,219980.1686861745
2014-05-05,219980.1686861745
2014-05-06,219980.1686861745
2014-05-07,263932.2063896722
2014-05-08,219906.79751737963
2014-05-09,220568.07913938133
2014-05-12,221480.12163503646
2014-05-13,257933.50910646614
2014-05-14,221985.04795857437
2014-05-15,222509.19785289932
2014-05-16,222004.1155135685
2014-05-19,249154.02344568778
2014-05-20,221637.73882811118
2014-05-21,177054.151005061
2014-05-22,223434.78146770602
2014-05-23,224536.25886193474
2014-05-26,224045.30391997573
2014-05-27,187305.8280826285
2014-05-28,223543.00786338252
2014-05-29,223672.83195046504
2014-05-30,223415.94534523983
2014-06-02,193841.29537697582
2014-06-03,223257.11635459168
2014-06-04,223257.11635459168
2014-06-05,223257.11635459168
2014-06-06,267863.8882022391
2014-06-09,223844.8901615777
2014-06-10,224794.05835025376
2014-06-11,225838.46887885168
2014-06-12,226489.08775775947
2014-06-13,225979.72307116282
2014-06-16,227182.50507897034
2014-06-17,227398.66568916166
2014-06-18,226268.64782584354
2014-06-19,227317.33767616606
2014-06-20,178605.69308367334
2014-06-23,227667.25452180067
2014-06-24,273155.17197525647
2014-06-25,227241.88550037207
2014-06-26,225563.74383250347
2014-06-27,225572.32742821984
2014-06-30,225713.96248757734
2014-07-01,225396.36085101543
2014-07-02,225836.28159155435
2014-07-03,225331.98101812397
2014-07-04,226424.275088238
2014-07-07,226220.4089599368
2014-07-08,182133.80361744054
2014-07-09,224840.5558382682
2014-07-10,224840.5558382682
2014-07-11,305702.213339943
2014-07-14,224211.66112087815
2014-07-15,226031.22989259352
2014-07-16,228599.70699067574
2014-07-17,227993.50897038914
2014-07-18,228517.02101642918
2014-07-21,229545.41363665226
2014-07-22,231110.42601403227
2014-07-23,231820.01305783505
2014-07-24,232193.15700450726
2014-07-25,143897.95573649165
2014-07-28,230486.11986477298
2014-07-30,230486.11986477298
2014-07-31,230486.11986477298
2014-08-01,230486.11986477298
2014-08-04,230486.11986477298
2014-08-05,276537.2466137546
2014-08-06,231263.9104328165
2014-08-07,230365.95934192403
2014-08-08,230042.17003789314
2014-08-11,231233.1035312963
2014-08-12,231276.36312903665
2014-08-13,231690.59850037092
2014-08-14,231745.00183705718
2014-08-18,231053.51395319472
2014-08-19,230521.95838060795
2014-08-20,230937.8015985675
2014-08-21,230864.9819211439
2014-08-22,231541.8036478716
2014-08-25,231890.29237617488
2014-08-26,231842.82847360446
2014-08-27,231926.05141560725
2014-08-28,231513.19705125183
2014-09-01,231524.2479404798
2014-09-02,184716.96692208032
2014-09-03,231707.59555796708
2014-09-04,278002.7731504489
2014-09-05,231935.87322511355
2014-09-08,269607.38301556517
2014-09-09,231797.21304398926
2014-09-10,230326.9349560744
2014-09-11,230663.966882722
2014-09-12,230350.46572501384
2014-09-15,229534.83709625574
2014-09-16,228825.66352420344
2014-09-17,230276.7479505834
2014-09-18,184158.35135305388
2014-09-19,229969.58118753915
2014-09-22,194441.3671387384
2014-09-23,229830.3894074721
2014-09-24,229830.3894074721
2014-09-25,312486.5906539754
2014-09-26,229746.9903774655
2014-09-29,230600.23356660025
2014-09-30,231079.8782527877
2014-10-01,231587.50085633842
2014-10-07,231346.9614670815
2014-10-08,229510.05706047977
2014-10-09,147091.44922078215
2014-10-10,230177.5424821652
2014-10-13,230177.5424821652
2014-10-14,230177.5424821652
2014-10-15,230177.5424821652
2014-10-16,230177.5424821652
2014-10-17,312958.59386045113
2014-10-20,259079.8623921841
2014-10-21,229641.44287357098
2014-10-22,230565.87448495568
2014-10-27,230615.58868137337
2014-10-28,230669.11852502986
2014-10-29,231751.20945616052
2014-10-30,233986.26597702675
2014-10-31,147878.55922698748
2014-11-03,206230.0704006423
2014-11-05,236219.85903059522
2014-11-07,283416.58686490817
2014-11-10,273871.2924886283
2014-11-11,236604.0626725751
2014-11-12,236664.59317407417
2014-11-13,236417.0907985013
2014-11-14,236743.39034386675
