asset,config,model,fold,feature,importance
reliance_ns,ALL_32,random_forest,3,OPEN_CLOSE_PCT,0.03197511955448943
reliance_ns,ALL_32,random_forest,3,PRICE_CHANGE_PCT,0.03168186222626359
reliance_ns,ALL_32,random_forest,3,ATR_14,0.03162466844214089
reliance_ns,ALL_32,random_forest,3,VOLUME_EMA_20,0.03156468591117449
reliance_ns,ALL_32,random_forest,3,VOLUME_SMA_20,0.031218727540372537
reliance_ns,ALL_32,random_forest,3,DAILY_RANGE_PCT,0.031133977798776233
reliance_ns,ALL_32,random_forest,3,HIGH_LOW_PCT,0.03091294891785244
reliance_ns,ALL_32,random_forest,3,TRUE_RANGE,0.02967962821455534
reliance_ns,ALL_32,random_forest,3,Adj Close,0.025438007153892963
reliance_ns,ALL_32,random_forest,3,SMA_20,0.02532027353121911
reliance_ns,ALL_32,random_forest,3,EMA_20,0.02493641324477544
reliance_ns,ALL_32,random_forest,3,SMA_50,0.02488683405764604
reliance_ns,ALL_32,random_forest,3,EMA_50,0.024639635313577414
reliance_ns,ALL_32,random_forest,3,Open,0.024129647986506454
reliance_ns,ALL_32,random_forest,3,Close,0.024005311074409823
reliance_ns,ALL_32,random_forest,3,High,0.02348355111862832
reliance_ns,ALL_32,random_forest,3,Low,0.02324163966434732
reliance_ns,ALL_32,xgboost,3,ROC_12,0.03592199832201004
reliance_ns,ALL_32,xgboost,3,SMA_20,0.03589166700839996
reliance_ns,ALL_32,xgboost,3,TRUE_RANGE,0.03503171727061272
reliance_ns,ALL_32,xgboost,3,Close,0.03386140614748001
reliance_ns,ALL_32,xgboost,3,Low,0.03302258998155594
reliance_ns,ALL_32,xgboost,3,HIST_VOL_20,0.03271309658885002
reliance_ns,ALL_32,xgboost,3,DAILY_RANGE_PCT,0.03232550993561745
reliance_ns,ALL_32,xgboost,3,DAILY_RETURN,0.03221709281206131
reliance_ns,ALL_32,xgboost,3,HIGH_LOW_PCT,0.03212174028158188
reliance_ns,ALL_32,xgboost,3,MOMENTUM_20,0.03192804381251335
reliance_ns,ALL_32,xgboost,3,OBV,0.03187797591090202
reliance_ns,ALL_32,xgboost,3,VOLUME_RATIO,0.03183872997760773
reliance_ns,ALL_32,xgboost,3,VOLUME_EMA_20,0.031813908368349075
reliance_ns,ALL_32,xgboost,3,VOLUME_SMA_20,0.03177250176668167
reliance_ns,ALL_32,xgboost,3,BODY_SIZE,0.031755853444337845
reliance_ns,ALL_32,xgboost,3,Volume,0.03130674734711647
reliance_ns,ALL_32,xgboost,3,GAP_PCT,0.03127504885196686
reliance_ns,ALL_32,xgboost,3,VOLUME_CHANGE_PCT,0.03116743452847004
reliance_ns,ALL_32,xgboost,3,LOWER_WICK,0.031076490879058838
reliance_ns,ALL_32,xgboost,3,MOMENTUM_10,0.03066980093717575
reliance_ns,ALL_32,xgboost,3,Open,0.030404627323150635
reliance_ns,ALL_32,xgboost,3,OPEN_CLOSE_PCT,0.030130881816148758
reliance_ns,ALL_32,xgboost,3,UPPER_WICK,0.030112873762845993
reliance_ns,ALL_32,xgboost,3,PRICE_CHANGE_PCT,0.03006882406771183
reliance_ns,ALL_32,xgboost,3,ROLLING_STD_20,0.030008142814040184
reliance_ns,ALL_32,xgboost,3,ATR_14,0.029207099229097366
reliance_ns,ALL_32,xgboost,3,EMA_20,0.028727659955620766
reliance_ns,ALL_32,xgboost,3,EMA_50,0.02865717187523842
reliance_ns,ALL_32,xgboost,3,RSI_14,0.02845611982047558
reliance_ns,ALL_32,xgboost,3,High,0.028384625911712646
reliance_ns,ALL_32,xgboost,3,Adj Close,0.028275834396481514
reliance_ns,ALL_32,xgboost,3,SMA_50,0.027976788580417633
reliance_ns,SHORTLIST_16,logistic_regression,1,BODY_SIZE,0.2327784530654836
reliance_ns,SHORTLIST_16,logistic_regression,1,OPEN_CLOSE_PCT,0.20419000420815042
reliance_ns,SHORTLIST_16,logistic_regression,1,ATR_14,0.11683924029392057
reliance_ns,SHORTLIST_16,logistic_regression,1,HIGH_LOW_PCT,0.11039548859566267
reliance_ns,SHORTLIST_16,logistic_regression,1,DAILY_RANGE_PCT,0.11039548859566267
reliance_ns,SHORTLIST_16,logistic_regression,1,ROC_12,0.09680616134299265
reliance_ns,SHORTLIST_16,logistic_regression,1,PRICE_CHANGE_PCT,0.08936259473102127
reliance_ns,SHORTLIST_16,logistic_regression,1,DAILY_RETURN,0.08936259473095667
reliance_ns,SHORTLIST_16,logistic_regression,1,UPPER_WICK,0.08363391315338972
reliance_ns,SHORTLIST_16,logistic_regression,1,GAP_PCT,0.07063420763448586
reliance_ns,SHORTLIST_16,logistic_regression,1,VOLUME_CHANGE_PCT,0.07038472638394362
reliance_ns,SHORTLIST_16,logistic_regression,1,LOWER_WICK,0.049362281504938606
reliance_ns,SHORTLIST_16,logistic_regression,1,ROLLING_STD_20,0.04892573584964382
reliance_ns,SHORTLIST_16,logistic_regression,1,VOLUME_RATIO,0.03770873825238417
reliance_ns,SHORTLIST_16,logistic_regression,1,HIST_VOL_20,0.01954552915216104
reliance_ns,SHORTLIST_16,logistic_regression,1,RSI_14,0.012451262661840429
reliance_ns,SHORTLIST_16,random_forest,1,ROLLING_STD_20,0.0733619550640904
reliance_ns,SHORTLIST_16,random_forest,1,ROC_12,0.07307957520652286
reliance_ns,SHORTLIST_16,random_forest,1,VOLUME_RATIO,0.07259702747203232
reliance_ns,SHORTLIST_16,random_forest,1,ATR_14,0.0685225474533601
reliance_ns,SHORTLIST_16,random_forest,1,HIST_VOL_20,0.0684314842214919
reliance_ns,SHORTLIST_16,random_forest,1,RSI_14,0.06833200361447722
reliance_ns,SHORTLIST_16,random_forest,1,GAP_PCT,0.06809602227495332
reliance_ns,SHORTLIST_16,random_forest,1,LOWER_WICK,0.06518611111527324
reliance_ns,SHORTLIST_16,random_forest,1,VOLUME_CHANGE_PCT,0.06419620022726336
reliance_ns,SHORTLIST_16,random_forest,1,UPPER_WICK,0.05696066742507721
reliance_ns,SHORTLIST_16,random_forest,1,BODY_SIZE,0.055863182669493236
reliance_ns,SHORTLIST_16,random_forest,1,OPEN_CLOSE_PCT,0.054068799758525465
reliance_ns,SHORTLIST_16,random_forest,1,DAILY_RANGE_PCT,0.05382591261307568
reliance_ns,SHORTLIST_16,random_forest,1,DAILY_RETURN,0.052857359316513135
